"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
280,369,2018-04-26,1524770637,9.6,49.25,"Motion Start",0,38.9729801,-92.3025183,,,11558.96,,31,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
307,531,2018-04-26,1524770638,11.7,184.37,Standard,0,38.9625954,-92.3160234,,,1065.44,,5,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
216,464,2018-04-26,1524770639,0,92.66,"Motion Stop",0,38.9101368,-92.3725593,"Mill Creek",,69053.91,,-23,42015,"1,168.43",0,0,0,0,0,0,0,0,0,0,0,0
216,464,2018-04-26,1524770648,13.7,95.40,"Motion Start",0.1,38.9101266,-92.3724535,"Mill Creek",,69053.99,,42,42015,"1,168.43",0,0,0,0,0,0,0,0,0,0,0,0
