"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
314,503,2018-04-26,1524771025,0,1.08,"Motion Stop",0,38.963656,-92.3099592,,,4440.94,,-11,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
235,340,2018-04-26,1524771026,68.9,198.00,Standard,0,39.051056,-92.2656049,,,3653.28,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
284,206,2018-04-26,1524771028,37.5,95.76,Standard,0,38.9075975,-92.3465133,,,5601.68,,-1,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
232,286,2018-04-26,1524771028,5,177.24,Standard,0,38.9703992,-92.3384428,,,43588.07,,-20,40991,"1,595.78",0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-04-26,1524771028,26.5,142.96,Standard,0,38.9367043,-92.3315168,,,13698.06,,-12,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
212,430,2018-04-26,1524771033,12.4,270.85,Standard,0,38.956032,-92.3070135,,,37249.59,,-1,40991,"1,245.65",0,0,0,0,0,0,0,0,0,0,0,0
230,416,2018-04-26,1524771035,39.8,1.25,Standard,0,38.9386314,-92.3219455,,,109855.52,,0,40991,"1,540.57",0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-04-26,1524771036,0,141.63,"Motion Stop",0,38.9364265,-92.3312435,,,13698.09,,-8,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
317,250,2018-04-26,1524771037,0,142.70,"Motion Stop",0,38.9365708,-92.3314013,,,5843.79,,-13,42015,"1,667.06",0,0,0,0,0,0,0,0,0,0,0,0
