"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
258,201,2018-04-26,1524770920,0,181.43,"Motion Stop",0,38.9655292,-92.3176241,,,186557.55,,0,42015,"1,151.31",0,0,0,0,0,0,0,0,0,0,0,0
284,206,2018-04-26,1524770921,40,96.71,Standard,0,38.9098041,-92.3685187,,,5600.49,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
314,503,2018-04-26,1524770921,28.4,331.30,Standard,0,38.9506881,-92.3116195,,,4440.02,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
230,416,2018-04-26,1524770922,37.9,317.86,Standard,0,38.924845,-92.3199743,,,109854.56,,-13,40991,"1,540.49",0,0,0,0,0,0,0,0,0,0,0,0
317,250,2018-04-26,1524770924,54.8,15.06,Standard,0,38.9277357,-92.3388828,,,5842.85,,-2,40991,"1,666.79",0,0,0,0,0,0,0,0,0,0,0,0
232,286,2018-04-26,1524770926,28,278.70,Standard,0,38.9713639,-92.3288155,,,43587.51,,2,40991,"1,595.73",0,0,0,0,0,0,0,0,0,0,0,0
235,340,2018-04-26,1524770927,28.7,70.47,Standard,0,39.05879,-92.2709978,,,3652.15,,-15,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
