"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
317,250,2018-04-26,1524772061,17.2,266.21,"Cold Start, Motion Start",0,38.9651785,-92.320143,"Grissum Complex",,5847.01,,-3,58399,"1,668.11",0,0,0,0,0,0,0,0,0,0,0,0
212,430,2018-04-26,1524772062,0,42.76,"Power Off",0,38.9625328,-92.3170974,,,37252.94,,0,31,"1,246.18",0,0,0,0,0,0,0,0,0,0,0,0
274,232,2018-04-26,1524772064,24.1,180.18,Standard,0,38.9635846,-92.3212141,,,5668.54,,13,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
