"Asset ID","Asset No.",Date,Time(CST),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
264,515,2018-02-21,1519236504,5.4,164.98,"Motion Start",0,38.962624,-92.3171167,,,11460.69,,16,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
233,229,2018-02-21,1519236505,36,90.40,Standard,0,38.9516411,-92.3358978,,,14555.06,,-6,40991,"1,051.03",0,0,0,0,0,0,0,0,0,0,0,0
215,204,2018-02-21,1519236517,7.4,295.03,Standard,0,38.9573123,-92.3382364,,,5615.48,,-13,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
233,229,2018-02-21,1519236520,0,92.88,"Motion Stop",0.2,38.9516375,-92.3345264,,,14555.25,,-9,42015,"1,051.03",0,0,0,0,0,0,0,0,0,0,0,0
215,204,2018-02-21,1519236521,0,269.58,"Motion Stop",0,38.9573183,-92.3383111,,,5615.49,,-6,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236526,0,108.67,"Motion Stop",0,38.9624386,-92.3167125,,,11460.72,,-3,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236539,0,0.37,"Motion Stop",0,38.9511189,-92.3254495,,,21196.21,,0,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236542,7.5,0.34,"Motion Start",0,38.9511821,-92.3254572,,,21196.21,,27,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236561,4.9,107.05,"Motion Start",0,38.9624237,-92.3166852,,,11460.72,,16,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236571,0,161.80,"Motion Stop",0,38.9624242,-92.3165083,,,11460.73,,2,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
233,229,2018-02-21,1519236572,6.2,90.45,"Motion Start",0.2,38.9516343,-92.3344898,,,14555.25,,0,42015,"1,051.06",0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236584,0,91.13,"Motion Stop",0,38.9514,-92.3220887,,,21196.21,,-5,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
233,229,2018-02-21,1519236608,22.4,92.28,Standard,0.4,38.9515648,-92.3301593,,,14555.5,,1,40991,"1,051.09",0,0,0,0,0,0,0,0,0,0,0,0
233,229,2018-02-21,1519236627,0,150.08,"Motion Stop",0.5,38.9514876,-92.3289191,,,14555.56,,-4,42015,"1,051.09",0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236655,8.1,93.36,"Motion Start",0,38.9514103,-92.3219921,,,21196.21,,35,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236673,30.4,100.94,Standard,0.6,38.951307,-92.3197226,,,21196.84,,0,40991,0.00,0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236694,0,106.86,"Motion Stop",0.6,38.9507403,-92.3172479,,,21196.84,,-12,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236711,9.9,78.96,"Motion Start",0.6,38.9507434,-92.3171277,,,21196.84,,15,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236734,6.5,81.79,"Motion Start",0,38.9624376,-92.316524,,,11460.73,,22,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236754,9,273.03,Standard,0.1,38.9624505,-92.3161359,,,11460.77,,4,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236772,6.5,265.29,Standard,0.1,38.9624575,-92.3168576,,,11460.81,,2,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236776,0,272.11,"Motion Stop",0.1,38.9624554,-92.3169401,,,11460.81,,-6,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236778,3.2,283.00,"Motion Start",0.1,38.9624605,-92.3169739,,,11460.82,,3,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
264,515,2018-02-21,1519236801,0,91.10,"Motion Stop",0.2,38.9627395,-92.3170624,,,11460.84,,0,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
221,254,2018-02-21,1519236803,16.2,3.92,Standard,1.2,38.9572788,-92.3165844,,,21197.46,,8,40991,0.00,0,0,0,0,0,0,0,0,0,0,0,0
