"Asset ID","Asset No.",Date,Time(CST),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
227,535,2018-02-21,1519236508,32.9,277.64,Standard,0,38.967851,-92.3645015,,,46222.75,,10,40991,840.49,0,0,0,0,0,0,0,0,0,0,0,0
302,226,2018-02-21,1519236510,40,2.70,Standard,0,39.0206307,-92.3227812,,,2821.13,,1,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
244,562,2018-02-21,1519236510,0,73.35,"Power Off, Motion Stop",0,38.9635403,-92.3168418,,,22123.55,,0,1055,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-02-21,1519236511,30.6,270.88,Standard,0,38.9638804,-92.3110805,,,8712.19,,9,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
262,205,2018-02-21,1519236516,33.5,2.96,Standard,0,38.9553972,-92.3215659,,,6114.51,,-3,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
244,562,2018-02-21,1519236517,0,73.35,"Power On",0,38.9635403,-92.3168418,,,22123.55,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
244,562,2018-02-21,1519236518,5,73.35,"Motion Start",0,38.9635403,-92.3168418,,,22123.55,,0,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
241,210,2018-02-21,1519236519,3.1,164.55,"Motion Start",0,38.9638745,-92.2753776,,,65291.82,,0,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
253,542,2018-02-21,1519236526,6.2,157.50,"Motion Start",0,38.9900887,-92.253431,,,29062.34,,8,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
262,205,2018-02-21,1519236527,0,0.82,"Motion Stop",0.1,38.9561271,-92.3215099,,,6114.56,,-14,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
