"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
280,369,2018-04-26,1524770777,7.1,63.67,Standard,0,38.9745643,-92.2871871,,,11559.9,,-1,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-04-26,1524770780,0,43.11,"Motion Stop",0,38.9745909,-92.2871632,,,11559.9,,-12,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-04-26,1524770785,0,43.11,"Power Off",0,38.974592,-92.2871625,,,11559.9,,0,31,0.00,0,0,0,0,0,0,0,0,0,0,0,0
259,461,2018-04-26,1524770786,25.5,92.73,Standard,0,38.9563014,-92.3231329,,,32647.03,,0,40991,"1,049.08",0,0,0,0,0,0,0,0,0,0,0,0
293,258,2018-04-26,1524770791,0,242.36,"Motion Stop",0,38.9471361,-92.3952578,,,31031.71,,-2,8430623,"6,026.95",0,0,0,0,0,0,0,0,0,0,0,0
