"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
268,547,2018-05-21,1526920723,0,201.22,"Motion Stop",0,38.9468438,-92.2945772,,,16870.45,,-6,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920745,6.7,202.15,"Motion Start",0,38.9468014,-92.2945974,,,16870.46,,25,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920763,41.1,275.92,Standard,0.1,38.9467231,-92.2963723,,,16870.56,,5,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920781,5.2,274.22,Standard,0.3,38.9469419,-92.2990617,,,16870.7,,-12,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920784,0,273.78,"Motion Stop",0.3,38.9469429,-92.2990919,,,16870.7,,-7,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920860,11.8,273.90,"Motion Start",0.3,38.9469453,-92.2991712,,,16870.71,,31,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920878,45.5,282.62,Standard,0.4,38.9473077,-92.3024085,,,16870.89,,2,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920896,46.1,290.89,Standard,0.7,38.9483468,-92.3063933,,,16871.11,,0,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920914,16.6,290.44,Standard,0.8,38.9492314,-92.3093777,,,16871.28,,-7,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920922,0,288.20,"Motion Stop",0.8,38.9493105,-92.3096273,,,16871.3,,0,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920933,11.7,289.31,"Motion Start",0.9,38.9493424,-92.3097245,,,16871.31,,38,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920951,36.1,281.22,Standard,1,38.9499322,-92.3123068,,,16871.45,,-2,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920970,26.2,279.82,Standard,1.2,38.9503912,-92.3155056,,,16871.63,,-1,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920982,0,285.58,"Motion Stop",1.2,38.9505924,-92.3164238,,,16871.67,,-11,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526920992,10.8,288.28,"Motion Start",1.2,38.9506072,-92.3165007,,,16871.68,,29,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921007,0,0.00,"Power On",0,38.9689338,-92.2935301,,,56891.71,,0,8223,462.75,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526921017,26.2,283.09,Standard,1.4,38.951326,-92.3195369,,,16871.85,,-2,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526921031,0,275.93,"Motion Stop",1.5,38.9514421,-92.3204765,,,16871.9,,-7,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921038,3.7,27.56,"Motion Start",0,38.9690261,-92.2935084,,,56891.72,,2,42015,462.75,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526921059,7.1,272.64,"Motion Start",1.5,38.9514541,-92.3205574,,,16871.91,,27,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921067,13.7,44.33,Standard,0.1,38.9699276,-92.292624,,,56891.79,,11,40991,462.75,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526921078,0,270.94,"Motion Stop",1.5,38.9514988,-92.3216412,,,16871.96,,-4,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921085,8.7,29.25,Standard,0.2,38.9711724,-92.2912757,,,56891.9,,-27,40991,462.75,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921103,24.9,46.27,Standard,0.3,38.9722854,-92.2904404,,,56891.97,,1,40991,462.78,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921121,24.9,64.73,Standard,0.4,38.9731755,-92.2883642,,,56892.08,,2,40991,462.78,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921139,34.8,46.88,Standard,0.5,38.9745828,-92.2860307,,,56892.2,,1,40991,462.78,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526921144,9.4,277.00,"Motion Start",1.5,38.9514805,-92.3217247,,,16871.97,,25,9247,409.97,0,0,0,0,0,0,0,0,0,0,0,0
261,474,2018-05-21,1526921157,22.4,21.22,Standard,0.7,38.9763281,-92.2844481,,,56892.36,,1,40991,462.78,0,0,0,0,0,0,0,0,0,0,0,0
268,547,2018-05-21,1526921162,26.2,271.13,Standard,1.6,38.9515056,-92.3239342,,,16872.09,,5,8223,409.97,0,0,0,0,0,0,0,0,0,0,0,0
